1.0000	1.0000	0.1613	1.0000	0.9681	6.3200	 7.9033	
0.9796	1.0000	0.2258	0.9787	1.0000	6.6200	 8.3480	
0.4082	0.4595	0.7742	0.4043	0.6099	2.7300	 3.5173	
0.4694	0.5405	0.8387	0.4894	0.7340	3.0300	 4.4156	
0.0408	0.0811	0.5161	0.0638	0.0957	0.3300	 -0.0541	
0.0408	0.0811	0.5161	0.0638	0.0957	0.3300	 -0.0541	
0.0816	0.1081	0.5484	0.0851	0.1312	0.5900	 0.7017	
0.0612	0.1081	0.5484	0.0851	0.1312	0.4600	 -0.1380	
0.0612	0.0811	0.5484	0.0638	0.0993	0.5200	 0.8291	
0.0204	0.0541	0.5484	0.0426	0.0709	0.4500	 0.3413	
0.3673	0.4054	0.9355	0.3617	0.5887	4.0800	 3.5369	
0.4694	0.5405	0.9355	0.4894	0.7660	3.6500	 3.5463	
0.0000	0.0000	0.5484	0.0213	0.0071	0.3200	 -0.1328	
0.0204	0.0270	0.5484	0.0213	0.0390	0.7600	 0.6345	
0.0612	0.0811	0.5484	0.0638	0.0993	0.5500	 0.8291	
0.1837	0.2432	0.7419	0.1915	0.3298	2.6900	 0.6323	
0.2245	0.2432	0.7742	0.2340	0.3369	2.6800	 0.2497	
0.2449	0.2703	0.8065	0.2553	0.3794	2.7900	 1.3183	
