1	 1	 1	 9.3688e+11	 31.8798	 0.4722	
1	 1	 2	 2.3653e+11	 123.4512	 0.2639	
1	 1	 3	 7.2233e+11	 432.8419	 0.1667	
1	 1	 4	 8.0228e+11	 981.9589	 0.1250	
1	 1	 5	 6.3452e+11	 70.8635	 0.3333	
1	 2	 1	 9.0173e+11	 157.4111	 0.2639	
1	 2	 2	 3.3559e+11	 231.3197	 0.1806	
1	 2	 3	 7.3058e+11	 487.3856	 0.1667	
1	 2	 4	 8.0804e+11	 990.5003	 0.1111	
1	 2	 5	 6.5815e+11	 188.7339	 0.2500	
1	 3	 1	 8.0425e+11	 265.8121	 0.2222	
1	 3	 2	 3.8282e+11	 307.1487	 0.1667	
1	 3	 3	 7.3746e+11	 538.8476	 0.1667	
1	 3	 4	 7.9208e+11	 989.5418	 0.0972	
1	 3	 5	 6.7667e+11	 290.1680	 0.1806	
1	 4	 1	 7.5867e+11	 355.5154	 0.1806	
1	 4	 2	 4.2340e+11	 375.0688	 0.1667	
1	 4	 3	 7.4283e+11	 583.6417	 0.1667	
1	 4	 4	 7.9208e+11	 989.5418	 0.0972	
1	 4	 5	 6.8819e+11	 360.1439	 0.1667	
1	 5	 1	 7.6208e+11	 418.2812	 0.1667	
1	 5	 2	 4.6068e+11	 435.9169	 0.1667	
1	 5	 3	 7.4769e+11	 625.8666	 0.1667	
1	 5	 4	 7.9208e+11	 989.5418	 0.0972	
1	 5	 5	 6.9906e+11	 422.9955	 0.1667	
