1	 1	 0.1354	 0.1231	
1	 2	 0.1292	 0.1231	
1	 3	 0.1200	 0.1077	
1	 4	 0.1200	 0.1077	
1	 5	 0.1200	 0.1077	
2	 1	 0.2092	 0.1385	
2	 2	 0.1754	 0.1385	
2	 3	 0.1631	 0.1385	
2	 4	 0.1569	 0.1385	
3	 1	 0.2185	 0.1692	
3	 2	 0.2154	 0.1692	
3	 3	 0.1908	 0.1385	
3	 4	 0.1815	 0.1385	
3	 5	 0.1785	 0.1385	
4	 1	 0.2400	 0.1692	
4	 2	 0.2246	 0.1692	
4	 3	 0.2185	 0.1692	
4	 4	 0.2185	 0.1692	
5	 1	 0.1354	 0.0462	
5	 2	 0.1262	 0.0462	
5	 3	 0.1200	 0.0462	
5	 4	 0.1138	 0.0462	
6	 1	 0.1108	 0.1077	
6	 2	 0.1077	 0.1077	
6	 3	 0.1077	 0.1077	
6	 4	 0.1046	 0.0923	
6	 5	 0.1046	 0.0923	
7	 1	 0.2923	 0.1077	
7	 2	 0.2246	 0.1077	
7	 3	 0.2154	 0.1077	
7	 4	 0.2062	 0.1077	
8	 1	 0.3323	 0.2308	
8	 2	 0.2646	 0.2308	
8	 3	 0.2277	 0.2000	
8	 4	 0.2215	 0.2000	
8	 5	 0.2215	 0.2000	
9	 1	 0.1569	 0.1231	
9	 2	 0.1385	 0.1231	
9	 3	 0.1354	 0.1231	
9	 4	 0.1354	 0.1231	
10	 1	 0.2400	 0.2308	
10	 2	 0.2308	 0.2308	
10	 3	 0.2277	 0.2154	
10	 4	 0.2246	 0.2154	
10	 5	 0.2246	 0.2154	
