0.0247	0.0625	0.1297	0.1609	0.4482	0.3506	0.0000	0.0000	0.0000	
0.0400	0.0729	0.0974	0.1100	0.4918	0.3247	0.0000	0.0000	0.0000	
0.0342	0.0264	0.0061	0.0136	0.6079	0.9307	0.0000	0.0000	0.0000	
0.0813	0.0946	0.0259	0.1150	0.5063	0.3896	0.0000	0.0000	1.0000	
0.0707	0.0865	0.0246	0.0936	0.4918	0.3495	0.5038	0.0000	0.0000	
0.0021	0.0024	0.2798	0.0182	0.9274	0.9935	0.5038	0.0000	0.0000	
0.1402	0.2628	0.0208	0.1038	0.4337	0.2395	0.5038	1.0000	1.0000	
0.7173	0.6394	0.0043	0.0248	0.3465	0.0615	0.5038	1.0000	1.0000	
0.0082	0.0104	0.1279	0.0375	0.7822	0.9234	0.5038	0.0000	0.0000	
0.0718	0.0689	0.0158	0.0394	0.5789	0.6009	0.5038	0.0000	0.0000	
0.8822	0.6554	0.0028	0.0200	0.3611	0.0313	0.5038	1.0000	1.0000	
0.5995	0.5673	0.0006	0.0436	0.4482	0.0863	0.5038	1.0000	1.0000	
0.2226	0.2468	0.0073	0.1002	0.5353	0.2039	0.5038	1.0000	1.0000	
0.5642	0.6154	0.0009	0.0592	0.4337	0.0615	0.5038	1.0000	1.0000	
0.9411	0.7035	0.0033	0.0195	0.2304	0.0043	0.5038	1.0000	1.0000	
0.3051	0.3269	0.0041	0.0788	0.4772	0.1607	0.5038	1.0000	1.0000	
0.1284	0.1587	0.0128	0.1151	0.5353	0.3085	0.5038	0.0000	1.0000	
0.0059	0.0056	0.0682	0.0223	0.8838	0.9881	0.5038	0.0000	0.0000	
0.5642	0.5833	0.0082	0.0377	0.3611	0.0928	0.5038	1.0000	1.0000	
0.2462	0.3189	0.0062	0.0906	0.5208	0.1877	0.5038	1.0000	1.0000	
0.0020	0.0024	0.3669	0.0173	0.9129	0.9935	0.5038	0.0000	0.0000	
0.1402	0.2147	0.0136	0.1397	0.5063	0.2481	0.5038	1.0000	1.0000	
0.3993	0.5032	0.0028	0.0638	0.2449	0.1338	0.5038	1.0000	1.0000	
0.1519	0.2228	0.0094	0.1376	0.5789	0.3193	0.5038	1.0000	1.0000	
0.1284	0.1747	0.0128	0.1606	0.4627	0.2567	0.5038	1.0000	0.0000	
0.1284	0.1667	0.0106	0.1243	0.5063	0.2913	0.5038	1.0000	0.0000	
0.0200	0.0184	0.0414	0.0201	0.7386	0.9676	1.0000	0.0000	0.0000	
0.0115	0.0088	0.0619	0.0123	1.0000	0.9957	1.0000	0.0000	0.0000	
0.2108	0.3109	0.0098	0.0929	0.5063	0.1834	1.0000	1.0000	1.0000	
0.8469	0.7196	0.0045	0.0369	0.3611	0.0367	1.0000	1.0000	1.0000	
0.9411	0.8638	0.0069	0.0360	0.3175	0.0173	1.0000	1.0000	1.0000	
0.2815	0.3750	0.0093	0.0667	0.4918	0.1564	1.0000	1.0000	1.0000	
0.1284	0.1747	0.0133	0.1392	0.5644	0.2772	1.0000	1.0000	1.0000	
0.0047	0.0064	0.1792	0.0465	0.9274	0.9881	1.0000	0.0000	0.0000	
0.0021	0.0024	0.2798	0.0244	0.9274	0.9968	1.0000	0.0000	0.0000	
0.2462	0.2308	0.0177	0.0480	0.4627	0.1942	1.0000	1.0000	1.0000	
0.1755	0.2228	0.0159	0.0895	0.4046	0.2147	1.0000	1.0000	1.0000	
0.3757	0.4631	0.0081	0.0498	0.3756	0.1143	1.0000	1.0000	1.0000	
0.1284	0.1346	0.0125	0.1417	0.5644	0.2675	1.0000	1.0000	1.0000	
0.3522	0.3670	0.0030	0.0694	0.3320	0.1586	1.0000	1.0000	1.0000	
0.3640	0.3349	0.0035	0.0587	0.4046	0.1823	1.0000	1.0000	1.0000	
0.0247	0.0208	0.0215	0.0088	0.8693	0.9827	1.0000	0.0000	0.0000	
0.5995	0.5192	0.0007	0.0420	0.4337	0.1208	1.0000	1.0000	1.0000	
0.4346	0.4151	0.0050	0.0400	0.3030	0.1586	1.0000	1.0000	1.0000	
0.0236	0.0192	0.0140	0.0127	0.8693	0.9935	1.0000	0.0000	0.0000	
0.3286	0.3269	0.0075	0.0545	0.4772	0.1672	1.0000	1.0000	1.0000	
0.7527	0.6394	0.0049	0.0241	0.3320	0.0593	1.0000	1.0000	1.0000	
0.2108	0.2468	0.0066	0.1188	0.4918	0.1942	1.0000	1.0000	1.0000	
