1	 1	 4.6556	 3.8576	
1	 2	 4.6854	 3.7391	
1	 3	 4.6955	 3.5827	
1	 4	 4.7757	 3.5820	
1	 5	 4.8369	 3.4989	
2	 1	 22.3423	 12.6314	
2	 2	 20.6024	 11.7111	
2	 3	 18.8883	 11.5440	
2	 4	 17.1236	 11.5022	
2	 5	 16.1083	 11.4089	
3	 1	 19.5805	 4.5081	
3	 2	 20.2774	 1.1158	
3	 3	 21.6629	 1.1087	
3	 4	 22.6364	 1.1087	
3	 5	 23.4468	 1.1087	
4	 1	 6.2043	 2.8309	
4	 2	 5.6962	 2.6623	
4	 3	 5.4551	 2.5792	
4	 4	 5.3057	 2.3662	
4	 5	 5.2831	 2.3662	
5	 1	 0.8970	 0.5336	
5	 2	 0.5692	 0.5331	
5	 3	 0.5580	 0.5331	
5	 4	 0.5491	 0.5314	
5	 5	 0.5405	 0.5311	
6	 1	 0.9549	 0.7298	
6	 2	 0.9177	 0.7287	
6	 3	 0.8865	 0.7277	
6	 4	 0.8570	 0.7267	
6	 5	 0.8314	 0.7267	
7	 1	 55.9133	 11.6285	
7	 2	 43.6302	 10.9321	
7	 3	 37.1499	 10.7626	
7	 4	 32.3403	 10.6222	
7	 5	 28.5201	 10.2854	
8	 1	 1.2145	 0.9414	
8	 2	 1.1806	 0.9414	
8	 3	 1.1419	 0.9275	
8	 4	 1.1101	 0.9268	
8	 5	 1.0579	 0.8460	
9	 1	 3.9104	 0.8422	
9	 2	 2.2261	 0.8247	
9	 3	 1.7146	 0.8215	
9	 4	 1.4245	 0.8211	
9	 5	 1.1597	 0.8181	
10	 1	 2.7533	 1.1817	
10	 2	 1.7763	 1.1796	
10	 3	 1.6375	 1.1581	
10	 4	 1.5551	 1.1581	
10	 5	 1.4891	 1.1408	
