2.5000	9.0000	78.0027	6.2056	0.6793	0.3470	3.3400	1.0000	
9.5000	16.0000	10.5292	3.6649	0.7394	0.3300	4.6500	1.0000	
18.0000	45.0000	19.4473	4.8617	0.5931	0.1800	3.3400	1.0000	
78.0000	88.0000	3.5926	0.5549	0.6593	0.0790	4.6500	1.0000	
13.0000	23.0000	9.2336	3.1417	0.7995	0.3200	3.3400	1.0000	
35.0000	49.0000	3.0314	1.8132	0.5891	0.2170	4.6500	1.0000	
18.0000	37.0000	6.1140	3.2330	0.6092	0.2480	4.6500	1.0000	
0.4000	0.7000	130.0026	0.5567	0.9198	0.9770	4.0000	0.0000	
75.0000	82.0000	3.7362	0.5771	0.5991	0.0980	4.0000	1.0000	
2.0000	2.3000	11.5028	0.4029	0.9699	0.9900	4.6500	0.0000	
55.0000	120.0000	9.0938	2.4589	0.4695	0.1180	4.6500	1.0000	
42.0000	70.0000	7.8600	1.8478	0.5691	0.1490	4.0000	1.0000	
16.0000	29.0000	7.0028	3.3093	0.6993	0.2870	4.0000	1.0000	
10.0000	19.0000	7.8028	6.6466	0.6993	0.4740	4.6500	0.0000	
56.0000	72.0000	2.1100	1.1995	0.6092	0.1550	4.6500	1.0000	
13.0000	30.0000	8.4644	3.7273	0.6793	0.2930	4.0000	1.0000	
2.0000	2.8000	28.0028	0.5867	0.7695	0.9130	4.0000	0.0000	
13.0000	31.0000	8.4644	4.4762	0.6593	0.2490	4.0000	1.0000	
18.0000	32.0000	6.1140	3.2330	0.6693	0.2710	4.0000	1.0000	
42.0000	60.0000	5.4790	1.0361	0.6593	0.1920	4.6500	1.0000	
3.0000	3.5000	5.6695	0.3980	0.7695	0.9318	3.3400	0.0000	
29.0000	50.0000	7.4166	1.3583	0.6192	0.1960	4.0000	1.0000	
0.9500	1.3000	33.6870	0.5272	0.9298	0.9790	4.0000	0.0000	
10.0000	20.0000	10.0028	3.7217	0.7094	0.3630	4.0000	0.0000	
34.0000	53.0000	6.7676	1.0598	0.5591	0.2190	4.0000	1.0000	
0.6000	0.9000	86.6694	0.3291	0.9097	0.9840	4.0000	0.0000	
28.0000	49.0000	11.2528	1.1804	0.6292	0.2450	4.0000	1.0000	
19.0000	40.0000	9.7397	1.8216	0.6693	0.2820	4.0000	1.0000	
0.2000	0.4000	252.5024	1.0791	0.8897	0.9750	4.6500	1.0000	
12.0000	28.0000	8.6695	5.0014	0.6092	0.2480	4.6500	1.0000	
2.6000	3.1000	11.9259	0.3111	0.8296	0.9760	4.0000	0.0000	
3.5000	9.3000	58.5742	3.0795	0.6893	0.3700	3.3400	1.0000	
3.8000	4.2000	10.5292	0.3233	0.8596	0.9850	4.0000	0.0000	
2.1000	2.6000	10.2409	0.3732	0.9498	0.9900	4.6500	0.0000	
0.5000	0.8000	62.0027	0.5815	0.9899	0.9880	4.0000	0.0000	
51.0000	77.0000	2.5519	1.5091	0.5691	0.1420	4.0000	1.0000	
24.0000	32.0000	9.3778	1.7075	0.6492	0.1930	4.6500	1.0000	
6.7000	8.2000	11.4954	3.4200	0.7595	0.6550	4.6500	1.0000	
18.0000	26.0000	9.3362	1.9614	0.6693	0.2830	4.0000	1.0000	
9.0000	13.0000	8.5584	6.6729	0.6893	0.6490	4.6500	0.0000	
2.1000	2.6000	12.8600	0.3270	0.9999	0.9960	4.6500	0.0000	
13.0000	36.0000	7.6952	4.0999	0.7294	0.3030	4.0000	1.0000	
13.0000	28.0000	7.5413	3.8468	0.7494	0.3650	4.0000	0.0000	
31.0000	42.0000	4.1319	1.6543	0.6292	0.2380	4.6500	1.0000	
80.0000	88.0000	4.0029	0.5634	0.5090	0.0730	4.0000	1.0000	
13.0000	23.0000	8.0798	3.9047	0.6492	0.2950	4.0000	1.0000	
0.7000	1.1000	44.2885	1.0188	0.7905	0.7900	3.3400	0.0000	
19.0000	30.0000	6.3186	2.8078	0.6693	0.2510	4.6500	1.0000	
