              X1 	              X2 	              X3 	              X4 	              X5 	    Actual Value 	 Predicted Value 	
0.46000	0.38000	0.70000	3.70000	21.10000	3.69000	3.69000	
0.50000	0.41000	0.71000	4.10000	29.70000	4.66000	4.66000	
0.58000	0.46000	0.72000	4.80000	33.80000	3.37000	3.37000	
0.60000	0.47000	0.73000	5.00000	35.00000	4.54000	4.54000	
0.60000	0.47000	0.75000	5.00000	36.00000	6.32000	6.32000	
0.59000	0.46000	0.75000	4.90000	35.20000	5.33000	5.33000	
0.60000	0.47000	0.74000	5.00000	35.50000	6.33000	6.33000	
0.59000	0.47000	0.76000	4.90000	36.40000	7.05000	7.05000	
0.59000	0.47000	0.77000	4.90000	36.90000	6.62000	6.62000	
0.20000	0.18000	0.84000	1.20000	15.40000	0.92000	0.92000	
0.20000	0.18000	0.85000	1.20000	15.60000	0.81000	0.81000	
0.15000	0.14000	0.83000	0.70000	11.90000	0.35000	0.35000	
0.14000	0.13000	0.83000	0.70000	11.00000	0.20000	0.20000	
0.16000	0.15000	0.84000	0.80000	12.90000	0.34000	0.34000	
0.17000	0.15000	0.85000	0.90000	13.00000	0.48000	0.48000	
0.17000	0.16000	0.87000	1.00000	14.20000	0.45000	0.45000	
0.21000	0.19000	0.91000	1.30000	17.60000	1.09000	1.09000	
0.24000	0.21000	0.93000	1.60000	19.90000	1.38000	1.38000	
0.27000	0.24000	0.94000	1.80000	23.00000	2.06000	2.06000	
0.29000	0.25000	0.95000	2.00000	24.20000	3.25000	3.25000	
0.31000	0.27000	0.94000	2.20000	25.90000	2.73000	2.73000	
0.32000	0.27000	0.95000	2.30000	26.20000	3.44000	3.44000	
0.33000	0.28000	0.95000	2.40000	27.10000	3.47000	3.47000	
0.34000	0.29000	0.96000	2.50000	28.40000	4.33000	4.33000	
0.34000	0.30000	0.96000	2.60000	29.40000	3.03000	3.03000	
0.36000	0.31000	0.96000	2.70000	30.40000	3.75000	3.75000	
0.37000	0.31000	0.96000	2.80000	30.40000	4.19000	4.19000	
0.37000	0.32000	0.97000	2.80000	31.70000	3.41000	3.41000	
0.13000	0.13000	0.86000	0.60000	11.40000	0.33000	0.33000	
0.13000	0.13000	0.86000	0.60000	11.40000	0.33000	0.33000	
0.14000	0.13000	0.87000	0.70000	11.50000	0.60000	0.60000	
0.15000	0.14000	0.88000	0.70000	12.60000	0.50000	0.53500	
0.15000	0.14000	0.87000	0.70000	12.40000	0.59000	0.59000	
0.15000	0.14000	0.88000	0.70000	12.60000	0.57000	0.53500	
0.14000	0.14000	0.87000	0.70000	12.40000	0.46000	0.46000	
0.14000	0.13000	0.87000	0.60000	11.50000	0.65000	0.57333	
0.14000	0.13000	0.87000	0.60000	11.50000	0.52000	0.57333	
0.13000	0.12000	0.87000	0.60000	10.70000	0.36000	0.36000	
0.13000	0.12000	0.87000	0.50000	10.70000	0.49000	0.49000	
0.12000	0.12000	0.87000	0.50000	10.70000	0.45000	0.45000	
0.12000	0.11000	0.86000	0.40000	9.70000	0.35000	0.42000	
0.12000	0.11000	0.86000	0.40000	9.70000	0.49000	0.42000	
0.11000	0.11000	0.85000	0.40000	9.50000	0.31000	0.31000	
0.11000	0.10000	0.85000	0.30000	8.70000	0.32000	0.32000	
0.25000	0.23000	1.01000	1.70000	23.70000	4.68000	4.68000	
0.29000	0.26000	0.98000	2.10000	26.00000	3.52000	3.52000	
0.29000	0.26000	0.99000	2.10000	26.30000	4.35000	4.35000	
0.29000	0.25000	0.99000	2.00000	25.30000	4.08000	4.08000	
0.30000	0.26000	0.98000	2.10000	26.00000	3.33000	3.33000	
0.31000	0.27000	0.99000	2.20000	27.30000	2.52000	2.52000	
0.32000	0.28000	1.00000	2.30000	28.60000	3.37000	3.37000	
0.33000	0.29000	0.99000	2.50000	29.30000	4.16000	4.16000	
0.34000	0.30000	0.99000	2.60000	30.30000	3.65000	3.65000	
0.35000	0.35000	0.99000	2.70000	35.40000	2.98000	2.98000	
0.11000	0.10000	0.87000	0.30000	8.90000	0.36000	0.36000	
0.11000	0.10000	0.87000	0.40000	8.90000	0.32000	0.32000	
0.12000	0.11000	0.87000	0.40000	9.80000	0.76000	0.76000	
0.13000	0.12000	0.88000	0.50000	10.80000	0.94000	0.94000	
0.13000	0.12000	0.88000	0.60000	10.80000	0.69000	0.69000	
0.14000	0.13000	0.87000	0.60000	11.50000	0.55000	0.57333	
0.14000	0.13000	0.88000	0.60000	11.70000	0.94000	0.94000	
0.14000	0.13000	0.89000	0.70000	11.80000	0.35000	0.35000	
0.15000	0.14000	0.89000	0.70000	12.70000	1.60000	1.60000	
0.16000	0.15000	0.89000	0.80000	13.60000	0.87000	0.87000	
0.17000	0.16000	0.90000	0.90000	14.70000	1.15000	1.15000	
0.19000	0.17000	0.91000	1.10000	15.80000	2.02000	2.02000	
0.20000	0.18000	0.92000	1.20000	16.90000	1.23000	1.23000	
0.20000	0.19000	0.93000	1.20000	18.00000	2.69000	2.69000	
0.22000	0.19000	0.94000	1.40000	18.20000	2.68000	2.68000	
0.23000	0.20000	0.95000	1.50000	19.40000	2.79000	2.79000	
0.24000	0.21000	0.95000	1.60000	20.40000	2.21000	2.21000	
0.25000	0.22000	0.95000	1.70000	21.30000	2.58000	2.58000	
0.26000	0.23000	0.96000	1.80000	22.50000	2.35000	2.35000	
0.27000	0.24000	0.97000	1.90000	23.80000	4.55000	4.55000	
0.60000	0.47000	1.01000	5.00000	36.90000	7.05000	7.05000	
0.11000	0.10000	0.70000	0.30000	8.70000	0.20000	0.20000	
0.20500	0.19000	0.88000	1.25000	17.80000	1.81000	1.81000	
