0.1500	0.1400	0.8800	0.7000	12.6000	0.7758	
0.5900	0.4700	0.7700	4.9000	36.9000	6.3339	
0.1700	0.1600	0.8700	1.0000	14.2000	0.7898	
0.1500	0.1400	0.8800	0.7000	12.6000	0.7758	
0.2700	0.2400	0.9700	1.9000	23.8000	3.0221	
0.2700	0.2400	0.9400	1.8000	23.0000	2.4046	
0.1200	0.1100	0.8700	0.4000	9.8000	0.4848	
0.3600	0.3100	0.9600	2.7000	30.4000	4.1620	
0.3400	0.3000	0.9600	2.6000	29.4000	4.3630	
0.1400	0.1300	0.8700	0.7000	11.5000	0.4194	
0.2900	0.2500	0.9500	2.0000	24.2000	2.6202	
0.1300	0.1200	0.8700	0.6000	10.7000	0.4510	
0.1200	0.1100	0.7700	0.4000	9.8000	2.7628	
0.6000	0.4700	0.7400	5.0000	35.5000	5.3853	
0.1700	0.1500	0.8500	0.9000	13.0000	0.5059	
