3.6900	 3.6901	
4.6600	 4.6153	
3.3700	 3.4947	
4.5400	 4.9059	
6.3200	 6.3730	
5.3300	 5.4648	
6.3300	 5.6644	
7.0500	 6.6685	
6.6200	 7.0436	
0.9200	 0.8672	
0.8100	 0.6506	
0.3500	 0.4565	
0.2000	 0.3303	
0.3400	 0.4111	
0.4800	 0.5842	
0.4500	 0.2222	
1.0900	 1.2880	
1.3800	 1.8176	
2.0600	 2.2462	
3.2500	 2.8016	
2.7300	 2.7710	
3.4400	 3.6633	
3.4700	 3.3723	
4.3300	 3.6181	
3.0300	 3.4608	
3.7500	 3.5531	
4.1900	 4.4759	
3.4100	 3.2941	
0.3300	 0.3540	
0.3300	 0.3540	
0.6000	 0.2765	
0.5000	 0.7341	
0.5900	 0.5773	
0.5700	 0.7341	
0.4600	 0.6410	
0.6500	 0.6329	
0.5200	 0.6329	
0.3600	 0.2164	
0.4900	 0.5304	
0.4500	 0.4362	
0.3500	 0.3072	
0.4900	 0.3072	
0.3100	 0.1473	
0.3200	 0.1616	
4.6800	 4.7078	
3.5200	 3.7184	
4.3500	 4.1127	
4.0800	 3.8211	
3.3300	 3.4099	
2.5200	 3.4966	
3.3700	 3.3234	
4.1600	 3.8910	
3.6500	 3.7008	
2.9800	 2.9748	
0.3600	 0.7510	
0.3200	 0.4669	
0.7600	 0.6274	
0.9400	 0.8978	
0.6900	 0.5583	
0.5500	 0.6329	
0.9400	 0.8000	
0.3500	 0.8272	
1.6000	 1.0828	
0.8700	 1.0117	
1.1500	 1.2865	
2.0200	 1.4372	
1.2300	 1.7174	
2.6900	 2.3081	
2.6800	 2.2281	
2.7900	 2.6935	
2.2100	 2.7868	
2.5800	 2.5485	
2.3500	 2.9112	
4.5500	 3.6041	
